formatted_date,AAPL,FB,MSFT
2020-10-05,116.05311584472656,264.45001220703125,213.45721435546875
2020-10-12,118.08702087402344,265.92999267578125,217.26524353027344
2020-10-19,114.13823699951172,284.7900085449219,213.8726043701172
2020-10-26,108.00668334960938,263.1099853515625,200.2626495361328
2020-11-02,117.7596206665039,293.4100036621094,221.28097534179688
2020-11-09,118.52928924560547,276.95001220703125,214.14956665039062
2020-11-16,116.62105560302734,269.70001220703125,208.09628295898438
2020-11-23,115.87564086914062,277.80999755859375,213.4408721923828
2020-11-30,121.5009765625,279.70001220703125,212.57809448242188
2020-12-07,121.65999603271484,273.54998779296875,211.48724365234375
2020-12-14,125.88395690917969,276.3999938964844,216.77294921875
2020-12-21,131.1614227294922,267.3999938964844,220.8983612060547
2020-12-28,131.87701416015625,273.1600036621094,220.57110595703125
2021-01-04,131.2409210205078,267.57000732421875,217.79437255859375
2021-01-11,126.36100769042969,251.36000061035156,210.88229370117188
2021-01-18,138.21792602539062,274.5,224.07174682617188
2021-01-25,131.1514892578125,258.3299865722656,230.03179931640625
2021-02-01,135.9220733642578,268.1000061035156,240.18667602539062
2021-02-08,134.7416229248047,270.5,242.95350646972656
2021-02-15,129.26715087890625,261.55999755859375,238.96690368652344
2021-02-22,120.69712829589844,257.6199951171875,230.9790802001953
2021-03-01,120.85638427734375,264.2799987792969,230.20376586914062
2021-03-08,120.46818542480469,268.3999938964844,234.32875061035156
2021-03-15,119.43302154541016,290.1099853515625,228.9613037109375
2021-03-22,120.64735412597656,283.0199890136719,235.05433654785156
2021-03-29,122.42904663085938,298.6600036621094,240.8889617919922
2021-04-05,132.3826141357422,312.4599914550781,254.30758666992188
2021-04-12,133.53726196289062,306.17999267578125,259.1680908203125
2021-04-19,133.69650268554688,301.1300048828125,259.57562255859375
2021-04-26,130.84979248046875,325.0799865722656,250.65969848632812
2021-05-03,129.6055908203125,319.0799865722656,250.93801879882812
2021-05-10,127.07386779785156,315.94000244140625,246.65399169921875
2021-05-17,125.0598373413086,316.2300109863281,243.69195556640625
2021-05-24,124.24225616455078,328.7300109863281,248.74781799316406
2021-05-31,125.51847839355469,330.3500061035156,249.8536834716797
2021-06-07,126.97416687011719,331.260009765625,256.92718505859375
2021-06-14,130.0749969482422,329.6600036621094,258.46142578125
2021-06-21,132.71717834472656,341.3699951171875,264.03057861328125
2021-06-28,139.54696655273438,354.70001220703125,276.6134033203125
2021-07-05,144.6817626953125,350.4200134277344,276.90234375
2021-07-12,145.95797729492188,341.1600036621094,279.70184326171875
2021-07-19,148.12156677246094,369.7900085449219,288.5885314941406
2021-07-26,145.42953491210938,356.29998779296875,283.8463134765625
2021-08-02,145.70870971679688,363.510009765625,288.37933349609375
2021-08-09,148.88272094726562,363.17999267578125,291.75665283203125
2021-08-16,147.9740447998047,359.3699951171875,303.22369384765625
2021-08-23,148.38345336914062,372.6300048828125,299.17266845703125
2021-08-30,154.07513427734375,376.260009765625,300.590087890625
2021-09-06,148.75289916992188,378.69000244140625,295.16998291015625
2021-09-13,145.84713745117188,364.7200012207031,299.3223876953125
2021-09-20,146.7058868408203,352.9599914550781,298.8033447265625
2021-09-27,142.44210815429688,343.010009765625,288.5720520019531
2021-10-04,142.69174194335938,330.04998779296875,294.3115539550781
2021-10-11,144.62892150878906,324.760009765625,303.6544494628906
2021-10-18,148.4733123779297,324.6099853515625,308.5954284667969
2021-10-25,149.58169555664062,323.57000732421875,331.014404296875
2021-11-01,151.05953979492188,341.1300048828125,335.4462890625
2021-11-08,149.99000549316406,340.8900146484375,336.1051025390625
2021-11-15,160.5500030517578,345.29998779296875,342.4833984375
2021-11-22,156.80999755859375,333.1199951171875,329.67999267578125
2021-11-29,161.83999633789062,306.8399963378906,323.010009765625
2021-12-06,179.4499969482422,329.75,342.5400085449219
2021-12-13,171.13999938964844,333.7900085449219,323.79998779296875
2021-12-20,176.27999877929688,335.239990234375,334.69000244140625
2021-12-27,177.57000732421875,336.3500061035156,336.32000732421875
2022-01-03,172.1699981689453,331.7900085449219,314.0400085449219
2022-01-10,173.07000732421875,331.8999938964844,310.20001220703125
2022-01-14,173.07000732421875,331.8999938964844,310.20001220703125
